uralex_mng	example
I	I am well acquainted with this tale, but do not remember that one.
all	He has cut down all the trees
all	He has killed all animals
all	All these men are brothers
and	There is a tree and a bush over there.
and	Night and day.
animal	There is something in the bushes, I don't know whether it is an animal (beast), a bird or a man.
animal	Man can talk, animals (beasts) cannot.
ant	There are lots of ants in the forest.
ant	Ants can carry many times their own body weight.
armpit	The man’s armpits were smelly.
arrive	We arrive in London tomorrow morning.
arrive	The guest arrived yesterday and left this morning. (WOLD)
ashes	The campfire has left only ashes.
ashes	The wind scattered the ashes.
ashes	He scooped up a handful of ashes.
at	I left him at the end of the road.
at	I saw my friend at the party/feast/wedding/etc.
back	I carried a heavy load and now my back hurts.
back	Women carry babies on their back.
bad	You are a good man, he is a bad man.
bad	A bad knife.
bad	Bad food.
bake	Bake the cake in an oven for an hour.
bake	To bake a bread in an oven.
bark_n	He tore some bark off the tree.
bark_n	A piece of bark came loose from the tree.
bat	The cave is full of bats.
bathe	To bathe in a river [a sea, a lake, etc.]
be_hungry	The man was hungry after a long work day.
because	I can not see because smoke got in my eyes.
because	He is eating because he is hungry.
become	Last year he became a farmer.
become	He started as an engineer but later became a teacher.
begin	When do we begin the show?
behind	The garden is behind the house.
belly	While fighting, he punched him in the belly.
belly	Wrap this belt around your belly.
berry	Lingonberry and blueberry are both berries.
berry	You can make juice from lots of different berries.
beside	He sat beside me.
big	This person has a big nose, that one has a small nose.
big	A big stone [leaf, tree, pool, etc…]
bird	Something is moving in the bushes, I cannot tell if it is a bird or an animal.
bird	Birds lay eggs, animals and people bear children.
bird	There is a bird flying on high, I cannot tell what kind.
bite	The dog bit him.
bite	He bit his opponent in a fight.
bitter	Does this drink have a bitter taste?
bitter	This drink has a bitter taste.
black	[As on the RGB 0:0:0 card; the natural colour of coal]
blood	If you cut yourself, blood will flow.
blood	There’s blood flowing from his wound.
blood	Blood is red.
blow	She blew on the soup to cool it.
blow	She blew the dust off the plate.
bone	His bones are frail.
bone	He was sucking the marrow out of a bone.
bone	The body consists of flesh, fat and bones.
bone	He choked on a bone.
bore	He bored a hole in the wooden plank.
borrow	To borrow a book [a car, money…]
breast	He hit him in the breast (chest) while fighting.
breast	His breast (chest) was decorated with ornaments.
breathe	We breathe and smell with the nose.
breathe	I need to breathe, eat and drink to stay alive.
breathe	People can't breathe underwater.
burn	We have to burn fuel (wood) all night long, so as to have light and warmth.
burn	Why are you burning your clothes?
burn	The fire is burning strongly.
carry	The medics are carrying a man on a stretcher.
carry	Can you carry this box for me?
charcoal	They filled the grill with charcoal.
child	1.The child is playing outside.
child	There were two adults and two children in the car.
child	How old is her child?
child_kin	1.The child is playing outside.
child_kin	There were two adults and two children in the car.
child_kin	How old is her child?
claw_nail	Man has five fingers on each hand, and each finger has a nail.
claw_nail	He broke one of his (finger)nails.
clean	This room is clean, that room is dirty.
cloud	There is a white cloud in the sky.
cloud	Rain does not come from (white) clouds, only from rain clouds.
cold	The water in this bowl is cold, the water in that bowl is hot.
cold	The sea/lake is too cold to swim/wash in.
cold	I do not know if this stone is still cold or whether it already got hot from the sun.
comb	She used a comb to untangle her hair.
come	He came to me / my place.
cooked	We eat cooked vegetables.
count	I counted the stones; there were five stones.
count	She counted the bowls, there were not enough for all the family.
crush	He is grinding the grain to flour.
cut	I cut myself with the sharp knife.
cut	He cut the rope in half.
cut_down	The man cut down the tree.
day	Day comes after night.
day	The sun shines during the day, the moon shines at night.
deaf	A deaf man.
die	He was very old; he died a year ago.
die	All who live, die sooner or later.
dig	He is digging a hole to plant a tree/bush/plant.
dig	He dug a big hole.
dirty	This knife/bowl/mat is clean, that one is dirty.
disappear	The woman disappeared into the night.
divide	He divided the people into two groups.
divide	2 She divided the bananas equally among the children. (WOLD)
do	What are you doing?
dog	A dog is a man's best friend.
dog	The dog dwells together with people, wild animals do not.
dream	The girl dreamt of strange lands and magical animals.
drink	He is drinking water.
drink	I need to eat and drink to stay alive.
dry	Dry earth.
dry	My clothes are already dry, but his are still wet.
dull	That knife is sharp, but this one is dull (blunt).
dull	A dull (blunt) knife does not cut [bread/yams/other indigenous staple] well.
dust	When the ground is dry, much dust rises when you walk.
dust	She blew the dust from the plate.
ear	Humans have two ears.
early	It’s too early for lunch.
earth	While digging the hole, he was throwing out the earth.
earth	He took a handful of earth.
earth	I don’t know whether that site contains sand or earth.
eat	I need to eat and drink to stay alive.
eat	He is eating [insert primary food product(s) of given culture].
eat	When he lived there, he ate and drank plenty.
egg	Birds lay eggs, dogs do not.
egg	He had an egg in his hand.
egg	Do you eat eggs?
extinguish	The men extinguished the fire.
eye	He plucked his eye out.
eye	Most people have two eyes, but this man only has one eye.
face	The woman recognized the man’s face.
fall	I fell from the tree yesterday and hurt my back.
fall	When fruit is ripe, it falls from the tree/bush.
far	That tree is far away, I cannot see it; this one is quite near, I can see it clearly.
fat	The body consists of flesh, fat and bones.
fat	One can get fat from many different animals.
fat	Meat and fat can be eaten.
fat	Here are some pieces of fat.
father	A child has two parents, a father and a mother.
father	What is your father's name?
fear	During the storm we were afraid of the thunder.
fear	The child is afraid of the big dog.
feather	Adult birds are covered with feathers.
feather	Birds have feathers, beasts have fur.
feather	He plucked one feather from the bird’s wing.
feather	He stuck a feather in his hair as an ornament.
few	There are few rocks on the ground.
few	There are few boats on the river.
few	There are few ships but many boats on the river.
fight	While fighting, he hit him in the nose.
fight	Two men from the village were fighting (with) each other yesterday.
fire	I see a fire in the distance.
fire	He put the fire out with water.
fire	Fire can burn you.
fish	All fish live in water.
fish	Birds fly, fish swim.
fish	I want to catch this fish.
five	I have five fingers on each hand.
five	There are five leaves on the ground, but many leaves still on the tree.
float	Pieces of wood float in water.
float	The leaf is floating on the surface of the lake/sea.
flow	The river flows to the sea.
flow	If you cut yourself, blood will flow.
flower	She plucked one flower from the plant.
flower	Plants / bushes bear flowers, but dead plants / bushes have no flowers.
flower	Bees fed from the flowers.
fly	Birds can fly, beasts and people cannot.
fly	Little chicks do not yet know how to fly.
fly	There’s a bird in the sky. Where is it flying?
fly_n	There is a fly on the kitchen wall.
fly_n	[The beast] is swishing its tail to drive away flies.
fog	The fog was so thick in the valley, I could not see the houses.
fog	The was a low fog above the lake/sea/marsh.
foot	He put the shoe on his foot.
foot	He kicked him with his foot.
foot	Feet are for walking.
four	There are four leaves on the ground, but many leaves still on the tree.
four	A dog has four legs.
fox	I saw a fox in the woods yesterday.
freeze	When water freezes, it becomes ice.
full	This jar is full, that one is empty.
full	The jar (bag, pit, etc.) is already full, we cannot put in anything else.
gather	We are gathering firewood from the forest.
gather	He gathered wild mushrooms for dinner. (WOLD)
girl	A girl was playing in the yard.
give	I am giving my father a stone.
give	My father is giving me a stone.
give	He gave him a stick, but then snatched it back.
go	We need to go to the other side of the town.
go	I am going to London.
good	You are a good man, he is a bad man.
good	A good knife.
good	A good house.
good	Good food.
grandchild	That little boy is my grandchild.
grandson	My son’s son is my grandson.
grass	There is grass in the field.
grass	Cows/goats/sheep eat grass, but man does not.
grass	Grass is green.
green	[As on the RGB 0:255:0 and similar cards. The natural color of fresh, newly sprung grass.]
groan	She sat down and groaned in frustration.
guts	He cut open the animal and pulled out its guts.
hair	There is cat hair on my coat.
hair	My chest hair grows better than his.
hand	Man has two hands.
hand	They cut off his hands.
hand	People have fingers on each hand
hard	A hard rock [piece of metal, plastic, wooden fence, wall etc…].
he_she	He/she is drinking water.
head	While fighting, he hit him on the head.
head	This stone is the same size as a human head.
hear	You speak too quietly, I cannot hear you.
hear	Suddenly I heard a shot.
heart	He cut the heart out of the carcass.
heart	A human heart is larger than a dog’s heart.
heavy	He is carrying a heavy load, but my load is light.
heavy	This stone is too heavy.
heel	These shoes give me blisters on my heels.
hen	He has two hens and one rooster.
here	Come here, I want to talk to you!
here	I live here but my brother lives in the neighbouring village.
hide	We should hide this treasure as soon as possible.
hide	I have hidden the money.
hit	He hit him with a stick.
hit	While fighting, he hit him in the belly.
hold	Look how the mother holds her baby.
hold	Hold the stick tightly in your hand!
horn	Some animals have horns, some don't.
horn	People don’t have horns, some animals do.
